what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.modulecore,1.1.301.v201001252130,"org.eclipse.wst.common.modulecore",1352292269296
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.1.v200911141735,"org.eclipse.wst.common.project.facet.core",1352292269296
started,bundle,org.eclipse.wst.jsdt.core,1.0.201.v2010012803,"org.eclipse.wst.jsdt.core",1352292269296
started,bundle,org.eclipse.wst.jsdt.ui,1.0.201.v2010012803,"org.eclipse.wst.jsdt.ui",1352292269296
started,bundle,org.eclipse.wst.sse.core,1.1.402.v201001251516,"org.eclipse.wst.sse.core",1352292269312
started,bundle,org.eclipse.wst.validation,1.2.104.v200911120201,"org.eclipse.wst.validation",1352292269312
started,bundle,org.eclipse.wst.web,1.1.301.v200911302230,"org.eclipse.wst.web",1352292269328
started,bundle,org.eclipse.wst.xml.core,1.1.402.v201001222130,"org.eclipse.wst.xml.core",1352292269375
started,bundle,org.tigris.subversion.clientadapter,1.6.0.2,"org.tigris.subversion.clientadapter",1352292269375
started,bundle,org.tigris.subversion.subclipse.core,1.6.2,"org.tigris.subversion.subclipse.core",1352292269390
started,bundle,org.tigris.subversion.subclipse.ui,1.6.2,"org.tigris.subversion.subclipse.ui",1352292269421
started,bundle,org.eclipse.cdt.core,5.1.0.200906161748,"org.eclipse.cdt.core",1352292269437
started,bundle,org.eclipse.cdt.core.tests,5.1.0.200906161748,"org.eclipse.cdt.core.tests",1352292269437
started,bundle,org.eclipse.cdt.make.ui,6.0.0.200906161748,"org.eclipse.cdt.make.ui",1352292269468
started,bundle,org.eclipse.cdt.ui,5.1.0.200906161748,"org.eclipse.cdt.ui",1352292269484
started,bundle,org.eclipse.cdt.ui.tests,5.1.0.200906161748,"org.eclipse.cdt.ui.tests",1352292269484
os,sysinfo,,,"win32",1352292269484
arch,sysinfo,,,"x86",1352292269484
ws,sysinfo,,,"win32",1352292269484
locale,sysinfo,,,"zh_CN",1352292269484
processors,sysinfo,,,"2",1352292269484
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1352292269484
java.runtime.version,sysinfo,,,"1.6.0_10-rc2-b32",1352292269484
java.specification.name,sysinfo,,,"Java Platform API Specification",1352292269484
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1352292269484
java.specification.version,sysinfo,,,"1.6",1352292269484
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1352292269484
java.version,sysinfo,,,"1.6.0_10-rc2",1352292269484
java.vm.info,sysinfo,,,"mixed mode",1352292269484
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1352292269484
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1352292269484
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1352292269484
java.vm.specification.version,sysinfo,,,"1.0",1352292269484
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1352292269484
java.vm.version,sysinfo,,,"11.0-b15",1352292269484
started,bundle,org.eclipse.mylyn.context.core,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.context.core",1352292269500
started,bundle,org.eclipse.mylyn.context.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.context.ui",1352292269562
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.tasks.ui",1352292269953
started,bundle,org.eclipse.mylyn.team.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.team.ui",1352292270000
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1352292270125
started,bundle,org.eclipse.mylyn.monitor.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.monitor.ui",1352292270234
started,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1352292270593
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1352292270609
started,bundle,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.cvs.ui",1352292270750
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1352292290281
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1352292290328
closed,view,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.internal.introview",1352292290421
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1352292296203
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1352292326671
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.import",1352292326687
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.import",1352292326687
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1352292328187
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1352292329578
closed,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1352292329703
stopped,bundle,org.eclipse.pde.ua.ui,1.0.0.v20090511,"org.eclipse.pde.ua.ui",1352292330609
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.400.v200904300717,"org.eclipse.wst.dtd.ui",1352292330640
stopped,bundle,org.eclipse.wst.wsdl.ui,1.2.202.v200904271449,"org.eclipse.wst.wsdl.ui",1352292330796
stopped,bundle,org.eclipse.wst.wsi.ui,1.0.500.v200901141851,"org.eclipse.wst.wsi.ui",1352292330843
stopped,bundle,org.eclipse.jst.jsf.apache.trinidad.tagsupport,1.1.0.v20090525,"org.eclipse.jst.jsf.apache.trinidad.tagsupport",1352292330906
stopped,bundle,org.eclipse.jst.pagedesigner.jsf.ui,1.1.4.v20100203,"org.eclipse.jst.pagedesigner.jsf.ui",1352292330968
